Name,Timezone,Country,Latitude,Longitude,URL,,,,Comments
Castlepoint Lighthouse,12,New Zealand,-40.9,176.2167,https://www.youtube.com/embed/C1nn5sYyVkQ,,,,
Lyall Bay,12,New Zealand,-41.329993,174.793505,https://www.youtube.com/embed/XfLp4M6T-GU,,,,
Live Royal Albatross Cam,12,New Zealand,-45.77341,170.7288,https://www.youtube.com/embed/IH5hNrRzlCY,,,,
noumea beach cam,11,New Caledonia,-22.275801,166.457993,https://www.youtube.com/embed/lplCO6ZIPtg,,,,
Platinum Apartments Melbourne,10,Australia,-37.840935,144.946457,https://www.youtube.com/embed/EpvIAopAYbw,,,,
Magadan,10,Russia,59.5604768,150.7988617,https://www.youtube.com/embed/whZlenMaFx0,,,,
Mount Fuji,9,Japan,35.362799,138.730781,https://www.youtube.com/embed/Sv9hcJ3k5h4,,,,
Hangang and Banpo bridge Seoul,9,South Korea,37.5153525,126.9573152,https://www.youtube.com/embed/-JhoMGoAfFc,,,,
Okayama airport,9,Japan,34.7569728,133.8538694,https://www.youtube.com/embed/4D7-M7T_Hko,,,,
Lensk,9,Russia,60.7145488,114.9172123,https://www.youtube.com/embed/GS9EbUPxYHM,,,,
Khabarovsk,9,Russia,51.6312684,136.121524,https://www.youtube.com/embed/NBdFj1Nw83U,,,,
Kenting Nanwan bay Live Camera Taiwan,8,Taiwan,21.9596729,120.7635102,https://www.youtube.com/embed/sZXBFjepdeQ,,,,
Kuala Lumpur Skyline,8,Malaysia,3.140853,101.6932,https://www.youtube.com/embed/BrpyRp5cE6k,,,,
Downtown Singapore,8,Singapore,1.29027,103.851959,https://www.youtube.com/embed/iLIC3iFZhBk,,,,
Largo de Senado Square,8,China,22.1895,113.5371,https://www.youtube.com/embed/qJBksEtr3UA,,,,
Zhongzhu harbour,8,Taiwan,26.3639181,120.4842534,https://www.youtube.com/embed/wnNJcI2DzBE,,,,
Taal Volcano,8,Phillippines,13.9846784,121.0342975,https://www.youtube.com/embed/6IH2VRhsPE8,,,,
